Query,1,2,3,4,5,6,7,8,9,10
assisi_church17,assisi_church17_aug3,assisi_church17_aug0,assisi_church17_aug7,assisi_church17_aug4,sagrada_familia13_aug5,sagrada_familia13_aug1,church_christ2_aug4,sagrada_familia43_aug7,church_christ2_aug1,sagrada_familia34_aug3
barcelona_arc_triumph13_aug6,barcelona_arc_triumph13_aug5,barcelona_arc_triumph14_aug8,barcelona_arc_triumph14_aug3,barcelona_arc_triumph14_aug2,spanish_balcony74,barcelona_arc_triumph30_aug4,spanish_national_museum41_aug0,barcelona_arc_triumph43_aug6,spanish_balcony69_aug6,spanish_balcony69
barcelona_arc_triumph14_aug9,barcelona_arc_triumph14_aug8,barcelona_arc_triumph14_aug3,barcelona_arc_triumph13_aug5,barcelona_arc_triumph14_aug2,barcelona_arc_triumph11_aug2,barcelona_arc_triumph15_aug9,barcelona_arc_triumph32_aug2,barcelona_arc_triumph4_aug7,barcelona_arc_triumph30_aug4,barcelona_arc_triumph15_aug8
barcelona_arc_triumph39_aug7,sagrada_familia92_aug2,barcelona_arc_triumph44_aug5,church_saviour17_aug0,spanish_national_museum7_aug9,spanish_national_museum19_aug8,barcelona_arc_triumph50_aug0,sagrada_familia36,spanish_national_museum58_aug0,notredame1_aug7,church_saviour2_aug9
barcelona_arc_triumph4_aug0,barcelona_arc_triumph4_aug7,barcelona_arc_triumph34_aug6,assisi_church11_aug8,spanish_balcony80_aug1,barcelona_arc_triumph5_aug0,st_giles12_aug7,spanish_balcony61,st_giles12_aug2,spanish_national_museum36_aug4,barcelona_arc_triumph21_aug6
barcelona_arc_triumph51_aug7,barcelona_arc_triumph51_aug7,barcelona_arc_triumph51_aug0,barcelona_arc_triumph51_aug1,barcelona_arc_triumph51_aug9,barcelona_arc_triumph35_aug3,venezia_san_marco13_aug6,spanish_national_museum7_aug7,barcelona_arc_triumph35_aug7,sevilla_square_spain0_aug2,barcelona_arc_triumph55
barcelona_arc_triumph66_aug6,barcelona_arc_triumph66_aug4,barcelona_arc_triumph59_aug0,barcelona_arc_triumph59_aug9,barcelona_arc_triumph43_aug6,spanish_balcony70_aug6,spanish_balcony74,spanish_balcony44_aug4,spanish_balcony74_aug4,distractor31_aug7,barcelona_arc_triumph53_aug8
barcelona_arc_triumph6_aug9,barcelona_arc_triumph6_aug7,assisi_church14_aug3,assisi_church14_aug5,spanish_national_museum13_aug8,spanish_national_museum17_aug6,barcelona_arc_triumph37_aug1,spanish_national_museum102_aug4,sevilla_square_spain61_aug2,sevilla_square_spain18_aug3,barcelona_arc_triumph57_aug7
church_saviour17_aug3,church_saviour17_aug0,spanish_national_museum19_aug8,church_saviour1_aug1,church_saviour2_aug9,spanish_national_museum58_aug0,church_saviour10_aug8,church_saviour14_aug3,notredame1_aug7,spanish_national_museum58_aug3,spanish_national_museum50_aug4
florence_david13_aug3,florence_david78,florence_david39_aug4,florence_david81_aug2,florence_david31,florence_david39_aug3,florence_david77_aug2,florence_david18_aug6,florence_david74_aug3,florence_david39_aug5,florence_david52_aug7
